,Average Training Accuracy,Average Training Loss,Average Training Precision,Average Training Sensitivity,Average Training Specificity,Average Training F1,Average Training JS,Average Training Dice Coefficient,Epochs
29,0.9577100830078125,0.6376453156471252,0.9429743515789644,0.9429743515789644,0.9882984739965779,0.8824169908538295,0.7904560012648556,0.8824174882358988,30
30,0.958844482421875,0.6371639323234558,0.9434987545942497,0.9434987545942497,0.9884581561408015,0.885197573689997,0.7950506425588392,0.8851980713886033,31
31,0.95867578125,0.6372023258209228,0.9444135653306348,0.9444135653306348,0.9886063178517692,0.88609084664212,0.7961615297971669,0.8860913442580883,32
32,0.960833251953125,0.6362700119018555,0.9484094249875801,0.9484094249875801,0.9892428609396331,0.891523813125069,0.8052192352161435,0.8915243108316087,33
33,0.9621959228515625,0.635788547039032,0.9476285325248426,0.9476285325248426,0.9890657286959851,0.8953822824079267,0.8114372632500227,0.8953827804281909,34
34,0.9627484130859375,0.6354720315933228,0.949804547210487,0.949804547210487,0.9896398269856311,0.8973781994539741,0.814472515903376,0.8973786975697994,35
35,0.9632640380859375,0.6352990164756774,0.9498993332589748,0.9498993332589748,0.9894733135285533,0.898233726939456,0.8159939136101149,0.8982342251070787,36
36,0.9650164794921875,0.6345230298042297,0.9527125306136257,0.9527125306136257,0.99013064312474,0.9034022897123088,0.8244516554746325,0.9034027881022085,37
37,0.965474853515625,0.6343488903045654,0.9527748166931859,0.9527748166931859,0.9900677951429567,0.9040020196455142,0.825638155139738,0.904002517991681,38
38,0.9661334228515625,0.6340476031303406,0.9550476570639966,0.9550476570639966,0.9904731030656174,0.9061863444870135,0.8293284142686884,0.9061868428334363,39
39,0.967419677734375,0.633541958808899,0.9551838334936329,0.9551838334936329,0.9906308910042193,0.9101128591509171,0.8357039251473255,0.9101133578300125,40
40,0.96782666015625,0.6333272662162781,0.9565672647446489,0.9565672647446489,0.9908073926201628,0.9120530755667765,0.83894477608623,0.9120535742241431,41
41,0.968296142578125,0.6331012787818908,0.958217538642283,0.958217538642283,0.9911990605426193,0.9127472449280736,0.8401865718888124,0.9127477435244427,42
42,0.9690303955078124,0.6328458423614503,0.9582528337002417,0.9582528337002417,0.9909947629548727,0.9144036617305085,0.8430642237729342,0.914404160392963,43
43,0.9699071044921875,0.6324618725776673,0.9601433358919401,0.9601433358919401,0.9913829136958765,0.9174802607107428,0.8481114327811616,0.9174807594825526,44
44,0.969920654296875,0.6324238348007202,0.9604058093153521,0.9604058093153521,0.991535842625126,0.9174786206806332,0.8480100596502456,0.9174791194797649,45
45,0.9704388427734375,0.6321755790710449,0.9614328143005609,0.9614328143005609,0.9916871375493023,0.918799012347141,0.850363040427897,0.9187995111580116,46
